"campaign_id","campaign_name","placement_id","placement_name","ad_id","ad_name"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3042028931","Connect_OLV 15_Mobile Desktop_Premium"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3180268017","Connect_OLV 15_Mobile_Exchange Product V1"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3180330259","Connect_OLV 15_Mobile_ Premium Product V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176787","15s// IPR// 3PA F18-24 // Desktop","3417806071","Connect_OLV 15_Mobile Desktop_Exchange Topical V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176787","15s// IPR// 3PA F18-24 // Desktop","3042028925","Connect_OLV 15_Mobile Desktop_Exchange"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1262202","15s // IPR //SAS Videology","3301453303","Videology_OLV 15_Desktop_Product V1"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1262202","15s // IPR //SAS Videology","3301453302","Videology_OLV 15_Desktop_Product V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176803","15s// IPR// 3PA F13-24 - Declared // Desktop","3417806071","Connect_OLV 15_Mobile Desktop_Exchange Topical V2"
"624302","Cottonelle Super Premium Empty Nesters 2016","1375660","15s// IPR// Nielsen P25-54 // Exchange","3559808183","Connect_SuperPremium_Aleo Vera 15"
"612123","UBK// Sports // Burst Two (30/09/16 - 31/12/16) //MDSKCA0005","1275962","SAS Placement - 15s // IPR //SAS Videology-[UBK// Sports // Burst Two (30/09/16 - 31/12/16) //MDSKCA0005-desktop_video_preroll_vpaid_15-Videology-phoebe.chan-10-04-2016_to_12-31-2016-SAS]","3299836443","Connect_15s_Video_Boxing Girl - VID PREM"
"612123","UBK// Sports // Burst Two (30/09/16 - 31/12/16) //MDSKCA0005","1275962","SAS Placement - 15s // IPR //SAS Videology-[UBK// Sports // Burst Two (30/09/16 - 31/12/16) //MDSKCA0005-desktop_video_preroll_vpaid_15-Videology-phoebe.chan-10-04-2016_to_12-31-2016-SAS]","3299836444","Connect_15s_Video_Relay girl- VID PREM"
"594577","Huggies// Active Baby // July - Dec 16 //MDSKCA0003","1250065","15s // IPR //SAS Videology","3281136408","Videology_ConnectVideo_NOM NOM_15sec"
"594577","Huggies// Active Baby // July - Dec 16 //MDSKCA0003","1250065","15s // IPR //SAS Videology","3281136409","Videology_ConnectVideo_ChangeTime_15sec"
"574947","Huggies// POME // Apr - Dec 16 //MDSKCA0002","1035779","30s // IPR //SAS Videology// Second Hug","3283932907","Videology_Awareness_SecondHug_30sec"
"574947","Huggies// POME // Apr - Dec 16 //MDSKCA0002","1050121","15s 30s//  IPR//  Contextual Female // Mobile","2999285977","NEW_POME_SecondHugWiderPocket_15"
"574947","Huggies// POME // Apr - Dec 16 //MDSKCA0002","1035787","30s // IPR //SAS Videology// Power of Hug","3283932908","Videology_Awareness_PowerofHugs_30sec"
